RANK,ID,CitationCount,CiteScore,SJR
8,3300147809,10353,6.66,1.789
4,3300147809,10353,6.66,1.789
24,3300147809,10353,6.66,1.789
1,19370,5903,6.63,4.356
25,19370,5903,6.63,4.356
2,27514,5988,6.62,2.807
17,27514,5988,6.62,2.807
9,27514,5988,6.62,2.807
25,27514,5988,6.62,2.807
23,27514,5988,6.62,2.807
4,12213,1069,6.6,4.739
17,12523,11742,6.59,3.383
11,12523,11742,6.59,3.383
26,12523,11742,6.59,3.383
10,16615,9867,6.58,3.735
10,16615,9867,6.58,3.735
18,16615,9867,6.58,3.735
6,13477,1482,6.56,3.809
5,22951,865,6.55,5.947
3,22951,865,6.55,5.947
8,27540,3244,6.54,2.224
14,27540,3244,6.54,2.224
20,27540,3244,6.54,2.224
8,27540,3244,6.54,2.224
6,19353,3689,6.53,3.973
15,25806,18033,6.49,2.077
7,17421,1231,6.48,3.3
13,17421,1231,6.48,3.3
12,17421,1231,6.48,3.3
16,17421,1231,6.48,3.3
8,18933,10722,6.48,1.665
6,18933,10722,6.48,1.665
21,18933,10722,6.48,1.665
8,21100235616,4247,6.48,2.49
11,21100235616,4247,6.48,2.49
6,21100235616,4247,6.48,2.49
5,21100235616,4247,6.48,2.49
21,21100368207,2804,6.48,3.516
9,21100368207,2804,6.48,3.516
8,21100368207,2804,6.48,3.516
13,21100368207,2804,6.48,3.516
1,26015,7268,6.47,4.929
4,26015,7268,6.47,4.929
12,26015,7268,6.47,4.929
8,21100338511,84,6.46,1.375
10,29161,3267,6.46,2.815
2,29161,3267,6.46,2.815
9,29161,3267,6.46,2.815
2,29161,3267,6.46,2.815
26,29775,18914,6.46,3.114
4,29775,18914,6.46,3.114
2,4000151809,15179,6.46,4.466
3,4000151809,15179,6.46,4.466
7,4000151809,15179,6.46,4.466
19,4000151809,15179,6.46,4.466
27,4000151809,15179,6.46,4.466
17,4000151809,15179,6.46,4.466
3,100459,967,6.45,1.379
12,100459,967,6.45,1.379
8,100459,967,6.45,1.379
3,17400,2302,6.45,5.094
28,17400,2302,6.45,5.094
6,28261,1606,6.45,2.982
6,28261,1606,6.45,2.982
2,21100204914,786,6.44,1.272
4,21100204914,786,6.44,1.272
2,17945,15407,6.42,4.92
2,17945,15407,6.42,4.92
11,17945,15407,6.42,4.92
4,17945,15407,6.42,4.92
18,17945,15407,6.42,4.92
29,17945,15407,6.42,4.92
18,38062,212,6.42,2.514
5,22044,2527,6.4,4.061
14,22044,2527,6.4,4.061
3,22044,2527,6.4,4.061
